Episode,Avg length,Avg prey reward,Avg predator reward
9460,440,0.05145506646185412,0.2945361977802905
9480,482,0.05407535443183723,0.284500495710282
9500,506,0.05454259707237078,0.2773716692219438
9520,456,0.05531497444188036,0.29018024219208305
9540,490,0.051771434087313564,0.286238757922319
9560,433,0.05963562029252254,0.2848966814345264
9580,484,0.04707618137569578,0.2980296943301518
9600,481,0.05710455390979038,0.2978767906572369
9620,455,0.06537841985934925,0.28456914445554615
9640,446,0.050389754048514236,0.2994016373483961
9660,489,0.0684401770039531,0.2810359211759278
9680,515,0.056383853186895594,0.27714609363984194
9700,436,0.05152021327836711,0.26806465482797304
9720,408,0.0540046160053543,0.2921280539563081
9740,516,0.04072811504617659,0.280916223683711
9760,525,0.04167533947774258,0.2747215324200768
9780,436,0.03444623458856883,0.2753182764844405
9800,526,0.05040581304529331,0.26569497539283954
9820,425,0.05197507552291718,0.29546897232914804
9840,492,0.05360425042134449,0.2606077808472533
9860,472,0.036825372027130945,0.28151097147960213
9880,467,0.048574048019766995,0.27272725319793867
9900,461,0.04056714944115042,0.2753415327637756
9920,546,0.04203413301132296,0.26281021598084775
9940,544,0.04308112915520208,0.26392862699605313
9960,467,0.0475088942369311,0.2748458445677834
9980,483,0.05637827873590021,0.2688987501336821
10000,519,0.05469433640278308,0.27851213026640415
10020,618,0.062438340484346135,0.2611951600101159
10040,533,0.06834429643764578,0.27164284469480304
10060,529,0.052873952040485686,0.27109118591838094
10080,437,0.05896717894435839,0.2806024567247965
10100,400,0.056563147348016395,0.2741864167975846
10120,432,0.06962768693973646,0.2795002671331364
10140,450,0.05252513618807788,0.28082081584249374
10160,495,0.060860107393783405,0.27515310780534213
10180,485,0.06129827265402281,0.26325841170143394
10200,484,0.05710021895071775,0.2756639290833012
10220,507,0.05264996802357882,0.28311322183581544
10240,552,0.044409117780805876,0.2787571766044765
10260,444,0.06066098673538116,0.2756153741370453
10280,511,0.03938251773819955,0.2687242613995354
10300,592,0.05875792097453301,0.26216976267699826
10320,531,0.04075827955841095,0.26143883153104464
10340,564,0.04962902448303992,0.26949951450385845
10360,600,0.06096363396809699,0.25313887633951443
10380,431,0.0566261399846029,0.2896637427671893
10400,535,0.04931284068432159,0.27478845332543944
10420,548,0.059386770317590966,0.27524307396280173
10440,463,0.04572803632756181,0.29005172816365743
10460,533,0.057726163750705065,0.26116235989733066
10480,496,0.0571786270294371,0.2744741426230801
10500,425,0.04842075520198745,0.2814462940215568
10520,438,0.04654367267966774,0.28585241957528296
10540,539,0.05416678105449237,0.26558768406597955
10560,516,0.04900544848222276,0.2779172220916226
10580,429,0.054128631515404424,0.2777602277579442
10600,529,0.05634383909393004,0.2721843807885352
10620,521,0.05828959051941214,0.26953386692776504
10640,525,0.05761880709213274,0.2783633594016157
